id,estado,faixa_etaria,genero,classe_economica,usa_internet,horas_por_dia,recebeu_mensagem_estranha,clicou_link_suspeito,compartilhou_dados_pessoais,recebeu_cyberbullying,viu_conteudo_inapropriado,recebeu_golpe,usa_senha_forte,verifica_privacidade,fala_com_responsavel,tem_antivirus,sabe_reconhecer_golpe,usa_youtube,usa_tiktok,usa_instagram,usa_whatsapp,usa_discord,usa_twitch,usa_facebook,usa_telegram,usa_snapchat,tipo_golpe_sofreu,interesse_seguranca,score_conhecimento,risco_total,perfil_risco
477,SP,15-16 anos,Masculino,D/E,1,3.944597176158789,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,Nenhum,Alto,21.063576387132635,1,MÉDIO
478,RS,7-8 anos,Feminino,D/E,1,2.74542895258614,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,Nenhum,Alto,18.047705337447013,1,MÉDIO
479,SC,15-16 anos,Feminino,C,1,4.098519445394497,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,Nenhum,Muito alto,0.0,3,CRÍTICO
480,RS,15-16 anos,Masculino,C,1,0.996587996548933,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,Nenhum,Médio,49.87427296663184,1,MÉDIO
481,PR,13-14 anos,Feminino,B2,1,3.6974250700336366,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,Nenhum,Muito alto,1.1617758284368942,2,ALTO
482,PE,11-12 anos,Masculino,B2,1,3.0637428042953467,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,Nenhum,Médio,60.007656067923705,2,MÉDIO
483,BA,15-16 anos,Masculino,C,1,6.234857261854649,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,Social engineering,Alto,16.861559952836785,3,CRÍTICO
484,PR,15-16 anos,Feminino,B2,1,3.653171520880255,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,Nenhum,Médio,26.297641843470647,1,MÉDIO
485,RS,13-14 anos,Feminino,C,1,6.775607871157697,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,Nenhum,Médio,0.0,1,MÉDIO
486,SC,15-16 anos,Feminino,D/E,1,7.796967986138643,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,Nenhum,Alto,5.594358219748139,2,ALTO
487,SP,7-8 anos,Masculino,D/E,1,6.5623506725751986,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,Nenhum,Muito alto,0.0,2,ALTO
488,RJ,13-14 anos,Feminino,C,0,4.569223422279847,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,Nenhum,Alto,28.597701147111785,1,MÉDIO
489,SC,15-16 anos,Feminino,D/E,1,5.282228993411186,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,Roubo de conta,Muito alto,47.12220433512479,1,MÉDIO
490,PA,15-16 anos,Feminino,D/E,1,1.9500301197118808,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,Nenhum,Baixo,29.54467460989718,2,ALTO
491,BA,9-10 anos,Masculino,C,1,4.7324412549575205,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,Nenhum,Alto,74.56749212861618,2,MÉDIO
492,PR,15-16 anos,Feminino,B2,1,3.279123063866334,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,Nenhum,Baixo,54.03435970307596,1,MÉDIO
493,RJ,13-14 anos,Feminino,B2,1,6.388652762298598,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,Nenhum,Alto,26.627060082944187,0,MÉDIO
494,SP,11-12 anos,Masculino,B2,1,10.145504778488949,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,Nenhum,Médio,19.80762671069181,2,ALTO
495,BA,9-10 anos,Masculino,B1,1,5.999643271947619,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,Nenhum,Médio,14.606914785837956,0,MÉDIO
496,MG,15-16 anos,Masculino,B2,1,1.017719702090667,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,Social engineering,Alto,32.491858775721454,3,ALTO
497,RS,9-10 anos,Feminino,B2,1,4.277539614171254,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,Nenhum,Médio,23.45485714713909,2,ALTO
498,SP,11-12 anos,Feminino,C,1,5.24498185074891,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,Nenhum,Alto,56.2760889139824,2,MÉDIO
499,SC,11-12 anos,Feminino,D/E,1,5.174714850520528,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,Nenhum,Muito alto,24.58611162154004,1,MÉDIO
500,SC,15-16 anos,Feminino,B1,1,3.5383737487824938,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,Nenhum,Médio,54.87469703580348,3,MÉDIO
501,PE,13-14 anos,Feminino,C,1,5.490583485273871,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,Nenhum,Muito alto,20.090065512150606,1,MÉDIO
502,RS,15-16 anos,Masculino,C,1,2.5149983261612254,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,Nenhum,Médio,0.8024176251360139,3,CRÍTICO
503,RJ,11-12 anos,Masculino,B1,1,3.110182554629866,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,Malware,Muito alto,15.543041366139414,3,CRÍTICO
504,PA,13-14 anos,Feminino,D/E,1,6.291595283207423,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,Nenhum,Alto,45.06775322801223,1,MÉDIO
505,PE,13-14 anos,Masculino,C,1,2.968673538240348,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,Nenhum,Muito alto,53.046065474686294,1,MÉDIO
506,SP,15-16 anos,Masculino,B2,1,6.076423210984514,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,Nenhum,Alto,24.766928667170976,2,ALTO
507,SC,15-16 anos,Feminino,D/E,1,2.261072450687884,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,Phishing,Muito alto,52.01176708947996,2,MÉDIO
508,PA,7-8 anos,Masculino,B2,1,8.529651767583472,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,Nenhum,Alto,50.302727766411635,1,MÉDIO
509,SC,13-14 anos,Masculino,C,1,3.4514601551918904,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,Nenhum,Alto,16.000178822620448,2,ALTO
510,CE,7-8 anos,Masculino,A,1,4.552666856393111,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,Nenhum,Baixo,27.336282430461235,4,CRÍTICO
511,PR,13-14 anos,Masculino,D/E,1,5.661226522180812,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,Nenhum,Alto,26.846801895499897,0,MÉDIO
512,MG,11-12 anos,Feminino,C,1,3.8693000949978114,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,Nenhum,Médio,58.06645013817602,0,BAIXO
513,SC,11-12 anos,Feminino,C,1,5.286811922142609,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,Nenhum,Muito alto,43.87215507978687,0,MÉDIO
514,PA,11-12 anos,Feminino,B2,1,6.150713449040252,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,Nenhum,Muito alto,26.413558357190492,1,MÉDIO
515,SP,13-14 anos,Masculino,C,1,6.921226465006971,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,Nenhum,Baixo,19.150421665371823,1,MÉDIO
516,SP,11-12 anos,Feminino,D/E,1,6.582994871945914,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,Nenhum,Médio,30.11305519561325,1,MÉDIO
517,MG,15-16 anos,Feminino,C,1,4.656379072394652,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,Nenhum,Alto,78.62036336878238,1,MÉDIO
518,PA,13-14 anos,Feminino,C,1,4.706736451912795,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,Nenhum,Médio,23.715649620380553,2,ALTO
519,SC,7-8 anos,Masculino,C,1,9.698217116050065,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,Nenhum,Médio,18.354394665845387,0,MÉDIO
520,SP,15-16 anos,Feminino,D/E,1,6.899778136498584,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,Nenhum,Alto,25.008641784572387,0,MÉDIO
521,PR,11-12 anos,Feminino,C,1,3.156352687359573,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,Nenhum,Baixo,52.657674611725355,1,MÉDIO
522,MG,13-14 anos,Feminino,D/E,1,5.199976327531104,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,Nenhum,Alto,55.43046784916663,2,MÉDIO
523,SC,13-14 anos,Feminino,D/E,1,4.329713722443615,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Nenhum,Médio,0.0,2,ALTO
524,PA,11-12 anos,Masculino,C,1,4.729331532153781,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,Nenhum,Muito alto,44.945745656572875,0,MÉDIO
525,PA,7-8 anos,Feminino,B2,1,2.541009684583824,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,Nenhum,Muito baixo,19.692777637427167,4,CRÍTICO
526,BA,11-12 anos,Masculino,C,1,4.176153531228094,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,Extorsão,Alto,48.84665214407778,2,MÉDIO
527,MG,15-16 anos,Feminino,D/E,1,8.623111546387825,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,Roubo de conta,Alto,71.95536018884708,4,MÉDIO
528,RJ,13-14 anos,Masculino,B2,1,6.158152601751006,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,Nenhum,Médio,29.253808215201747,2,ALTO
529,SP,13-14 anos,Masculino,C,1,0.5,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,Nenhum,Baixo,52.72208985539105,2,MÉDIO
530,PA,13-14 anos,Masculino,D/E,1,7.433446984995894,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,Nenhum,Baixo,28.846731142847187,2,ALTO
531,PA,9-10 anos,Feminino,B2,1,7.1792590458183225,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,Nenhum,Médio,31.156287252540853,2,ALTO
532,SC,13-14 anos,Masculino,C,1,4.281429391387167,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,Nenhum,Médio,42.5052590485607,1,MÉDIO
533,SC,15-16 anos,Feminino,B2,0,6.43452708756643,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,Nenhum,Alto,24.47725566919681,2,ALTO
534,RS,9-10 anos,Feminino,B1,1,3.2812015783655983,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,Nenhum,Alto,25.544308414372146,1,MÉDIO
535,CE,11-12 anos,Masculino,D/E,1,4.059488567467286,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,Nenhum,Muito baixo,20.729210687021943,2,ALTO
536,SC,11-12 anos,Masculino,B1,1,7.997092721339707,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,Nenhum,Médio,74.73645782826522,3,MÉDIO
537,PA,13-14 anos,Masculino,B2,1,4.4565399202605835,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,Nenhum,Alto,52.10484042705032,2,MÉDIO
538,RJ,15-16 anos,Feminino,D/E,1,1.2605366760900178,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Nenhum,Alto,22.319340807278444,0,MÉDIO
539,BA,7-8 anos,Feminino,B2,1,4.873393554437326,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,Nenhum,Baixo,50.202480390871244,2,MÉDIO
540,SP,13-14 anos,Masculino,D/E,1,4.842823214171286,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,Nenhum,Baixo,0.0,1,MÉDIO
541,SC,9-10 anos,Masculino,D/E,1,7.39673713874692,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,Nenhum,Médio,53.03123117375247,2,MÉDIO
542,PR,15-16 anos,Feminino,B2,1,5.02867284435152,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,Nenhum,Muito alto,4.606362432671164,2,ALTO
543,RJ,9-10 anos,Feminino,A,1,4.156835377119415,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,Nenhum,Médio,2.6117150442839767,0,MÉDIO
544,PE,13-14 anos,Feminino,C,1,7.090112290462412,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,Nenhum,Médio,32.363516976424265,2,ALTO
545,PR,15-16 anos,Feminino,C,1,5.241580465002221,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,Nenhum,Alto,12.114974738995867,2,ALTO
546,MG,15-16 anos,Masculino,B1,1,3.4999546368685657,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,Roubo de conta,Muito alto,0.0,3,CRÍTICO
547,SP,13-14 anos,Masculino,C,0,7.309995121083235,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,Nenhum,Alto,0.0,2,ALTO
548,PE,11-12 anos,Masculino,A,1,5.387323529033599,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,Nenhum,Baixo,57.756968282814746,3,MÉDIO
549,RS,11-12 anos,Masculino,D/E,1,5.005851933358875,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,Nenhum,Médio,43.69256444438692,2,MÉDIO
550,CE,11-12 anos,Masculino,B1,1,5.355816782823309,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,Nenhum,Muito alto,32.08895064555588,2,ALTO
551,RS,11-12 anos,Masculino,B1,1,2.858663257166806,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,Nenhum,Muito alto,23.411606672434036,2,ALTO
552,PA,13-14 anos,Masculino,B1,1,3.9446924476433254,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,Nenhum,Muito alto,21.375815675085676,3,CRÍTICO
553,RS,11-12 anos,Feminino,D/E,1,5.007165203665567,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,Nenhum,Alto,26.475925253616793,0,MÉDIO
554,RS,11-12 anos,Feminino,C,1,4.61067260995064,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,Nenhum,Alto,84.7529566992379,2,MÉDIO
555,PA,13-14 anos,Feminino,D/E,1,7.544856765633191,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,Nenhum,Médio,0.0,0,MÉDIO
556,MG,15-16 anos,Feminino,B2,1,5.434811705454007,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,Nenhum,Alto,26.25945250805629,1,MÉDIO
557,SP,13-14 anos,Masculino,B2,1,6.709807845272805,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,Nenhum,Alto,51.78555880315762,0,BAIXO
558,SP,7-8 anos,Feminino,B2,1,5.018790709151699,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,Nenhum,Alto,19.979663975271762,1,MÉDIO
559,CE,7-8 anos,Masculino,C,1,7.112576967492246,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,Nenhum,Médio,21.756837976634035,2,ALTO
560,PR,15-16 anos,Feminino,C,0,5.795055513146308,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,Nenhum,Muito alto,0.0,1,MÉDIO
561,CE,11-12 anos,Masculino,C,1,5.02684097077692,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,Nenhum,Alto,25.52082514762912,2,ALTO
562,SP,9-10 anos,Feminino,B2,0,4.973433822081961,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,Nenhum,Muito alto,67.78293826994405,3,MÉDIO
563,SP,13-14 anos,Masculino,D/E,1,3.0911227474180736,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,Nenhum,Alto,0.1615510305712525,2,ALTO
564,SP,13-14 anos,Masculino,B1,1,6.013831440272622,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Nenhum,Muito baixo,44.19225371086772,2,MÉDIO
565,MG,13-14 anos,Feminino,D/E,1,4.919590530927242,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,Nenhum,Alto,0.0,2,ALTO
566,RS,11-12 anos,Masculino,A,1,3.9960160796375908,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,Nenhum,Muito alto,0.0,2,ALTO
567,MG,7-8 anos,Feminino,C,1,7.212923541624143,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,Nenhum,Médio,6.600533390297592,1,MÉDIO
568,MG,15-16 anos,Feminino,B2,1,2.4995679482103976,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,Nenhum,Alto,26.32455646053922,2,ALTO
569,SC,11-12 anos,Feminino,C,1,4.155008209135132,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,Nenhum,Muito alto,45.999181809371635,1,MÉDIO
570,MG,13-14 anos,Feminino,C,1,7.055437497559067,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,Nenhum,Médio,58.42618301017516,1,MÉDIO
571,BA,15-16 anos,Feminino,C,1,5.631045881840507,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,Nenhum,Médio,17.344513211106552,0,MÉDIO
572,CE,13-14 anos,Masculino,C,1,4.904282144694485,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,Fake giveaway,Alto,74.86111740644695,2,MÉDIO
573,MG,11-12 anos,Feminino,C,1,5.502007086300293,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,Nenhum,Alto,52.164403405762606,0,BAIXO
574,PR,11-12 anos,Feminino,C,1,5.3588283420976826,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,Nenhum,Alto,0.0,2,ALTO
575,PA,13-14 anos,Feminino,D/E,1,1.9666749074281573,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,Nenhum,Alto,24.25537830097621,1,MÉDIO
576,SC,15-16 anos,Masculino,B2,1,4.301476229304077,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,Nenhum,Muito alto,21.50083700816058,2,ALTO
577,SP,15-16 anos,Feminino,C,0,8.233043309027497,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,Nenhum,Médio,20.65718095632983,2,ALTO
578,SC,9-10 anos,Feminino,C,1,3.681351730445665,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,Nenhum,Baixo,4.326633048339181,1,MÉDIO
579,BA,9-10 anos,Feminino,B2,1,4.363397971791332,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,Nenhum,Médio,50.45415380955994,2,MÉDIO
580,RJ,15-16 anos,Masculino,C,1,3.916758473381625,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Nenhum,Alto,51.54387851695572,0,BAIXO
581,BA,15-16 anos,Masculino,B2,1,4.825969553363725,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,Phishing,Médio,28.258211016707065,2,ALTO
582,SC,15-16 anos,Masculino,B1,0,3.8337543373514036,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,Nenhum,Médio,46.86390384779673,0,MÉDIO
583,BA,11-12 anos,Feminino,B2,1,5.97348300431612,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,Nenhum,Muito alto,46.48317305875824,1,MÉDIO
584,RJ,13-14 anos,Feminino,B1,1,5.394626824580533,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,Nenhum,Médio,46.3003734454757,1,MÉDIO
585,PR,15-16 anos,Masculino,C,1,6.547095230214036,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,Nenhum,Alto,100.0,1,MÉDIO
586,RJ,13-14 anos,Masculino,C,1,2.898117667622079,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,Nenhum,Alto,59.69222969609284,0,BAIXO
587,SP,13-14 anos,Masculino,D/E,1,4.319319034234193,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Nenhum,Muito baixo,25.192297035750798,0,MÉDIO
588,SP,7-8 anos,Masculino,C,1,4.5485547367757295,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,Nenhum,Baixo,34.77763779745585,2,ALTO
589,SP,13-14 anos,Feminino,A,1,5.91129382017719,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,Nenhum,Muito alto,51.37956440515639,0,BAIXO
590,SP,11-12 anos,Feminino,D/E,1,3.413557605585931,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,Nenhum,Muito alto,26.84139058781129,1,MÉDIO
591,SP,13-14 anos,Masculino,D/E,1,6.831307608516688,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,Roubo de conta,Muito alto,29.929150413475192,4,CRÍTICO
592,PR,15-16 anos,Feminino,C,1,7.372831181035218,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,Nenhum,Alto,6.42644208661737,2,ALTO
593,SP,11-12 anos,Masculino,C,1,3.0222553047288323,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,Nenhum,Alto,39.342954088241775,1,MÉDIO
594,MG,15-16 anos,Feminino,D/E,1,4.018254210212868,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,Nenhum,Muito alto,49.68953560178777,3,MÉDIO
595,PA,9-10 anos,Masculino,C,1,3.9361369834158153,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,Nenhum,Alto,1.193745315206112,2,ALTO
596,BA,13-14 anos,Masculino,D/E,1,10.264772409354997,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,Nenhum,Muito alto,51.68037720807136,2,MÉDIO
597,PE,15-16 anos,Masculino,B1,1,4.140199789584226,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,Nenhum,Médio,23.271858088812824,3,CRÍTICO
598,SP,9-10 anos,Feminino,B1,1,8.35525088431227,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,Nenhum,Alto,23.824647523470258,1,MÉDIO
599,SP,7-8 anos,Feminino,C,1,2.4667360097867808,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,Phishing,Alto,0.0,1,MÉDIO
600,SP,13-14 anos,Feminino,C,1,3.0206980676712734,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,Nenhum,Muito alto,0.0,2,ALTO
601,SP,9-10 anos,Masculino,D/E,1,3.6267909363035984,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,Nenhum,Muito alto,24.371575294969364,2,ALTO
602,RJ,15-16 anos,Masculino,D/E,1,3.308621377106955,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,Nenhum,Médio,2.4354368817850416,1,MÉDIO
603,SP,15-16 anos,Masculino,B2,1,4.464202531683003,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,Nenhum,Baixo,52.103371826410736,2,MÉDIO
604,SP,13-14 anos,Feminino,A,1,3.5824435945570037,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,Nenhum,Alto,44.383154934195495,1,MÉDIO
605,SP,11-12 anos,Masculino,D/E,1,3.361316814530853,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,Nenhum,Alto,43.273498055037166,0,MÉDIO
606,BA,13-14 anos,Feminino,C,1,7.316943992946655,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,Nenhum,Muito alto,22.57283228087804,1,MÉDIO
607,SP,15-16 anos,Feminino,B1,1,7.44758724502633,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,Nenhum,Médio,57.8805701594983,1,MÉDIO
608,MG,7-8 anos,Feminino,C,1,6.898592996750631,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,Nenhum,Muito alto,51.9931570573796,2,MÉDIO
609,BA,13-14 anos,Masculino,C,1,6.047997911168656,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,Nenhum,Alto,50.738557162103305,0,BAIXO
610,PE,13-14 anos,Masculino,D/E,1,5.185486131559105,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,Nenhum,Muito alto,53.680810187845154,2,MÉDIO
611,SP,13-14 anos,Masculino,C,1,4.005938618668183,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,Nenhum,Muito alto,0.0,2,ALTO
612,CE,11-12 anos,Feminino,B2,1,3.093684990489816,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,Nenhum,Muito alto,3.6425547056563143,2,ALTO
613,PR,15-16 anos,Feminino,D/E,1,5.725991406865375,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,Nenhum,Alto,47.061935921104634,1,MÉDIO
614,SP,9-10 anos,Masculino,C,1,2.652739214906404,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,Nenhum,Muito alto,41.95814964031198,3,MÉDIO
615,PA,9-10 anos,Masculino,C,1,3.0121581416492136,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,Nenhum,Muito alto,49.07098100012174,2,MÉDIO
616,SC,15-16 anos,Feminino,B2,1,7.305826512409619,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,Social engineering,Alto,55.29868230245418,3,MÉDIO
617,SP,15-16 anos,Feminino,C,1,8.801298083444173,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,Nenhum,Alto,50.954529725965195,1,MÉDIO
